melody,note,pitch,mean_response,ic_transformer,ic_idyom
hymn_007_b,26,71,4.447368421052632,5.100869364202364,5.0584593
hymn_022_b,22,75,3.325,7.503125260161947,11.402839
hymn_025_b,9,75,3.725,5.770485254982898,6.1142406
hymn_039_b,21,64,4.375,5.381448703739604,7.6738534
hymn_047_b,10,71,3.775,9.996981424935592,5.180799
hymn_054_b,22,76,3.0,7.806135392719849,7.12175
hymn_073_b,9,75,3.8684210526315788,5.271507508274951,7.7155275
hymn_081_b,58,74,3.575,4.168788160450865,5.4092236
hymn_119_b,17,66,4.333333333333333,2.1248059853741674,3.4169416
hymn_124a_b,9,72,4.842105263157895,4.080569064473686,4.8369675
hymn_127_b,46,61,4.225,5.5383052396722965,12.251982
hymn_161_b,13,65,4.923076923076923,2.972851780053253,4.981213
hymn_163_b,9,74,3.769230769230769,5.615413053673721,6.6503296
hymn_190_b,41,72,3.625,5.252354424602292,5.894876
hymn_213_b,21,68,4.825,4.4437679595818205,4.870831
hymn_233_b,18,75,3.275,7.23328690519847,12.312092
hymn_267_b,53,68,3.9,10.269210329132417,6.2653694
hymn_273_b,9,64,4.128205128205129,8.95390281960121,8.359373
hymn_291_b,14,71,5.076923076923077,7.954131377648525,7.327583
hymn_295_b,11,71,4.358974358974359,2.943324252191938,2.9485893
hymn_311_b,21,74,3.075,6.607750061515895,5.4951873
hymn_388b_b,9,72,4.275,4.091267660252346,4.160144
hymn_444_b,10,74,4.575,4.9071006232102246,7.084391
hymn_526_b,35,77,4.25,4.499394411908314,9.461896
hymn_542_b,12,72,4.743589743589744,4.498866698986472,4.030264
hymn_565_b,9,74,3.3076923076923075,8.307157967034337,6.3902783
