melody,note,pitch,mean_rating,sd_rating,n_participants,idyom_both_unbounded_ic,idyom_both_unbounded_predicted_pitch,idyom_both_unbounded_correct_pitch,idyom_ltm_ob10_ic,idyom_ltm_ob10_predicted_pitch,idyom_ltm_ob10_correct_pitch,idyom_ltm_ob10_viewpoints_ic,idyom_ltm_ob10_viewpoints_predicted_pitch,idyom_ltm_ob10_viewpoints_correct_pitch,transformer_full_ic,transformer_full_predicted_pitch,transformer_full_correct_pitch,transformer_sliding_ic,transformer_sliding_predicted_pitch,transformer_sliding_correct_pitch,transformer_viewpoints_ic,transformer_viewpoints_predicted_pitch,transformer_viewpoints_correct_pitch
hymn_007_b,26,71,4.447368421052632,1.5543725321510118,38,5.0584593,66,False,4.178208,66,False,4.4845533,66,False,5.100869,69,False,6.4718237,64,False,4.676394,64,False
hymn_022_b,22,75,3.325,1.7451397710535452,40,11.402839,67,False,11.540969,67,False,10.510658,67,False,7.503125,70,False,8.699806,70,False,7.402387,67,False
hymn_025_b,9,75,3.725,2.037941394693461,40,6.1142406,63,False,5.827035,63,False,8.919492,63,False,5.7704854,63,False,5.7971697,63,False,5.2525992,67,False
hymn_039_b,21,64,4.375,1.3902130439944478,40,7.6738534,69,False,6.1629295,69,False,5.9990907,69,False,5.3814487,69,False,4.6986275,71,False,6.0590243,71,False
hymn_047_b,10,71,3.775,1.9146868258348781,40,5.180799,72,False,3.8433022,67,False,11.775452,70,False,9.996982,67,False,8.522095,72,False,9.40042,69,False
hymn_054_b,22,76,3.0,1.9590400296670405,38,7.12175,67,False,6.5041375,67,False,7.114,71,False,7.806135,67,False,6.8113627,67,False,7.161671,71,False
hymn_073_b,9,75,3.8684210526315788,2.120314263188347,38,7.7155275,68,False,7.299116,68,False,8.237999,67,False,5.2715077,70,False,4.7456737,68,False,4.8878317,70,False
hymn_081_b,58,74,3.575,1.5002136599968106,40,5.4092236,69,False,4.80782,69,False,5.451141,69,False,4.168788,67,False,3.821239,67,False,3.970761,69,False
hymn_119_b,17,66,4.333333333333333,1.7521916101261563,39,3.4169416,69,False,4.1842327,69,False,4.2750416,69,False,2.124806,69,False,3.5257237,67,False,2.9540246,69,False
hymn_124a_b,9,72,4.842105263157895,1.4051318258724548,38,4.8369675,65,False,4.336001,65,False,5.2321153,70,False,4.0805693,68,False,4.690097,65,False,5.604577,68,False
hymn_127_b,46,61,4.225,2.3695450174545303,40,12.251982,62,False,4.296366,59,False,2.9797144,62,False,5.5383053,64,False,2.6004858,62,False,3.3191192,62,False
hymn_161_b,13,65,4.923076923076923,1.325550836536613,39,4.981213,67,False,5.233498,67,False,3.4497614,68,False,2.9728518,67,False,3.5791042,67,False,3.7692773,70,False
hymn_163_b,9,74,3.769230769230769,1.6616659120409454,39,6.6503296,66,False,6.6673527,64,False,5.369222,64,False,5.615413,69,False,6.0046225,64,False,6.4121227,64,False
hymn_190_b,41,72,3.625,1.6122527637932504,40,5.894876,66,False,5.7822533,66,False,4.5071807,67,False,5.2523546,69,False,7.5010395,66,False,6.740336,66,False
hymn_213_b,21,68,4.825,1.2986679566149546,40,4.870831,70,False,4.362418,70,False,2.9141357,70,False,4.443768,70,False,3.8122928,70,False,7.474264,70,False
hymn_233_b,18,75,3.275,1.4673803624844952,40,12.312092,70,False,12.689964,70,False,5.561362,70,False,7.233287,68,False,5.5031176,70,False,5.324912,70,False
hymn_267_b,53,68,3.9,1.645506702414885,40,6.2653694,72,False,7.773262,74,False,7.3611126,74,False,10.26921,74,False,7.579045,75,False,8.178823,74,False
hymn_273_b,9,64,4.128205128205129,1.8378976430391327,39,8.359373,69,False,8.133583,69,False,10.052733,72,False,8.953903,69,False,8.4465685,69,False,8.787925,71,False
hymn_291_b,14,71,5.076923076923077,1.9109740611395485,39,7.327583,72,False,3.3087158,72,False,4.4523,72,False,7.9541316,70,False,7.5778723,72,False,7.816578,72,False
hymn_295_b,11,71,4.358974358974359,1.5301733559715502,39,2.9485893,73,False,3.0545385,73,False,3.352254,74,False,2.9433243,73,False,2.471631,73,False,2.8105357,73,False
hymn_311_b,21,74,3.075,1.7451397710535452,40,5.4951873,69,False,3.485705,69,False,5.833137,69,False,6.60775,68,False,7.0033836,68,False,7.455849,69,False
hymn_388b_b,9,72,4.275,1.9478785304096276,40,4.160144,65,False,3.8960488,65,False,7.038589,65,False,4.0912676,68,False,5.087571,65,False,5.5118294,65,False
hymn_444_b,10,74,4.575,1.5670894137761353,40,7.084391,66,False,4.084107,71,False,3.499342,69,False,4.9071007,69,False,4.179712,69,False,4.619443,71,False
hymn_526_b,35,77,4.25,2.192645048267573,40,9.461896,69,False,4.2590413,67,False,5.2363048,69,False,4.4993944,69,False,3.795913,72,False,4.5040965,70,False
hymn_542_b,12,72,4.743589743589744,1.551195612184504,39,4.030264,74,False,3.901015,74,False,4.3825006,74,False,4.4988666,74,False,3.9537914,74,False,5.4458194,74,False
hymn_565_b,9,74,3.3076923076923075,2.0020232680945305,39,6.3902783,62,False,6.2742877,62,False,7.462042,62,False,8.3071575,65,False,7.293764,65,False,8.372447,65,False
